Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
thehamburglar8920,lsoDidact#NA1,TOP,PP,27,Platinum 1-4,Platinum 1,Platinum 4 16 LP,Platinum 4 16 LP,Platinum 1,Gold 3,,Gold 4,Gold 4,
themilkalator,FunnyyButton#NA123,BOT|MID,GF,28,Platinum 1-4,Platinum 4,Platinum 4 3 LP,Platinum 4 3 LP,Platinum 4,Gold 2,Silver 1,Silver 2,,
sithprincehammy,The Fool#URMAM,JGL,TWO,28,Platinum 1-4,Platinum 2,Gold 1 63 LP,Gold 1 63 LP,Platinum 2,Platinum 2,Silver 2,Silver 1,Silver 2,
Jbish96,GumbaStomp69#NA1,BOT|SUP,FF,28,Platinum 1-4,Emerald 4,Platinum 4 52 LP,Platinum 4 52 LP,Platinum 1,Platinum 2,Emerald 4,Platinum 1,Gold 1,
theotherbubble,bubbles101012#NA1,MID,V8,28,Gold 1-4,Emerald 4,Gold 1 37 LP,Gold 1 37 LP,Gold 1,Platinum 3,Emerald 4,Platinum 2,Gold 3,
notalxd,notal#8836|PedDabney#3105,JGL,LKMT,28,Platinum 1-4,Emerald 4,Platinum 3 13 LP,Platinum 3 13 LP,Platinum 2,Emerald 4,Emerald 4,Emerald 4,,
Monturkey,Monturkey#9268,JGL,,28,Platinum 1-4,Emerald 3 75 LP,,,,Emerald 3 12 LP,Emerald 3 18 LP,Emerald 3 75 LP,,LEFT
mctatertot,GAMER DESTROYER#LLT|Gamer Destroyer#dump,JGL|SUP,GF,29,Emerald 3,Emerald 3,Gold 3 4 LP,Gold 3 4 LP,Platinum 3,Emerald 3,Emerald 4,Emerald 4,Gold 3,
crimson_0range,BigBootyBarrels#Bomba,TOP,MDFC,29,Platinum 1-4,Platinum 2,Gold 1 22 LP,Gold 1 22 LP,Platinum 4,Platinum 3,Platinum 2,Platinum 3,Silver 2,
roseremains,Rose#630,SUP,MDFC,30,Gold 1-4,Gold 1,,,Gold 1,Gold 4,Gold 4,Silver 2,,
Bhrisy,Bhrisy#NA69|Anti Tilt#NA69,SUP|TOP,SMA,31,Platinum 1-4,Platinum 2,Platinum 4 76 LP,Platinum 4 76 LP,Platinum 2,Gold 2,Platinum 4,Gold 3,Silver 3,
vegito3650,ICarryOrILose#FREAK|Alt Acc Inter#ALPHA,SUP|JGL,LKMT,31,Platinum 1-4,Emerald 4,Gold 3 90 LP,Gold 3 90 LP,Platinum 2,Platinum 1,Emerald 4,Emerald 4,Gold 4,
Barretel,Barretel#Shaco|RangoStabCat#NA1,JGL|SUP,SMA,31,Platinum 1-4,Platinum 4,Gold 1 3 LP,Gold 1 3 LP,Platinum 4,Gold 4,Gold 2,Gold 3,Gold 1,
Earthen,The World#URDAD|I ROAR YOU BOW#VAHIR|Judgement#URDAD,TOP|BOT,TWO,31,Emerald 4,Emerald 4,Gold 3 86 LP,Gold 3 86 LP,Platinum 4,Platinum 1,Emerald 4,Platinum 3,Silver 2,
CCswift,CCswift#NA1,TOP,GT,31,Platinum 1-4,Emerald 2,Platinum 3 59 LP,Platinum 3 59 LP,Platinum 4,Platinum 1,Emerald 2,Emerald 3,Platinum 3,
.stran,Stran#NA1|DrStran#NA1,BOT,SMA,32,Platinum 1-4,Platinum 1,Gold 1 42 LP,Gold 1 42 LP,Gold 3,Platinum 4,Platinum 1,Platinum 2,Platinum 4,
aratthe,Team Curse #NA1|Sennanom#NA1,SUP,LEG,32,Gold 1-4,Platinum 1,Gold 2 11 LP,Gold 2 11 LP,Gold 2,Platinum 1,Platinum 1,Platinum 4,Gold 3,Twitch Stream
.jakefromstatefarmat3am,DESTROYXXXL#NA1|DESTROYXXXXL#NA1,TOP,SI,32,Emerald 3,Emerald 3,Gold 1 17 LP,Gold 1 17 LP,Platinum 1,Emerald 4,Emerald 3,Emerald 3,Platinum 3,
kybcat,kybcat#7796|kybcvt#NA1,BOT|TOP,WOW,32,Gold 1-4,Platinum 4,Gold 4 0 LP,Gold 4 0 LP,Gold 1,Gold 3,Gold 1,Platinum 4,Gold 4,
owlbirdy,OWLBIRD#NA1,MID|TOP,V8,32,Gold 1-4,Platinum 4,Gold 2 30 LP,Gold 2 30 LP,Gold 2,,,Platinum 4,Gold 2,
Yujii,Yujii#juju,MID,PP,33,Platinum 1-4,Emerald 2,Platinum 4 0 LP,Platinum 4 0 LP,Platinum 4,Emerald 3,Emerald 2,Platinum 4,Gold 3,
darkll,Railleyacil#79810|Darkll#1024|pEwHdKOlive#NA1,MID,NC,33,Gold 1-4,Gold 1,Gold 2 44 LP,Gold 2 44 LP,Gold 1,Gold 2,Silver 3,Silver 1,Bronze 1,
theencry,Encry#ssj3,JGL|TOP,,33,Platinum 1-4,Platinum 4 2 LP,Platinum 4 2 LP,Platinum 4 2 LP,,Gold 4 8 LP,,,,?
VeryLastNerve,verylastnerve#nerve,TOP|SUP,V8,33,Silver 1-4,Platinum 4,Gold 4 0 LP,Gold 4 0 LP,Gold 4,Silver 3,Platinum 4,Gold 2,Gold 4,
para.dox,dont ever stop#NA1,JGL|SUP,MDFC,33,Gold 1-4,Gold 2,Gold 3 71 LP,Gold 3 71 LP,Gold 2,Gold 2,Gold 4,,Silver 3,
Maxwelljrm,maxwell#CAN,MID,,33,Gold 1-4,Gold 1 27 LP,Gold 1 27 LP,Gold 2 42 LP,,,Gold 4 37 LP,,,
bredonis,MiHughJanis#HUGH,TOP|JGL,,34,Gold 1-4,Gold 2 92 LP,Gold 2 92 LP,Gold 2 3 LP,,Gold 4 66 LP,,,,LEFT
Flaccid4U,Placid4U TTV#NA1|TryingToVibe#NA1|CuteSurprise#NA1|Flaccid4U#NA1,SUP,,35,Gold 1-4,Platinum 4 17 LP,Gold 2 0 LP,Gold 3 68 LP,,,,Platinum 4 17 LP,,Twitch Stream
tibbywibby11,The Moon#urbro,JGL,,35,Gold 1-4,Gold 3 0 LP,Gold 4 52 LP,Gold 4 10 LP,,,Gold 3 0 LP,,,
geekee,Geekèé#0001,SUP|BOT,V8,35,Gold 1-4,Gold 2,Silver 1 39 LP,Silver 1 39 LP,Gold 2,Bronze 1,Silver 2,Silver 3,Silver 2,
just.neo,neo#1447,MID,,35,Gold 1-4,Emerald 4 0 LP,Gold 2 28 LP,,,Emerald 4 0 LP,,Gold 4 53 LP,,
jun_with_an_e,jun#9845,SUP,AWB,35,Gold 1-4,Emerald 3,Gold 3 92 LP,Gold 3 92 LP,Gold 2,Platinum 4,Platinum 1,Emerald 3,Gold 1,
isolation19,Isolation#1909,BOT,SMA,35,Gold 1-4,Platinum 1,Gold 2 41 LP,Gold 2 41 LP,Gold 2,Platinum 1,Silver 1,Silver 4,Bronze 3,
NemakuNa,NemakuNa#NA1,SUP,,35,Gold 1-4,Platinum 4 94 LP,Gold 4 3 LP,,,Gold 4 94 LP,Platinum 4 0 LP,Platinum 4 94 LP,Gold 4 2 LP,
chaos0002,OkNowImTilted#Aim,TOP|MID,NC,36,Gold 1-4,Emerald 4,Silver 2 51 LP,Silver 2 51 LP,Gold 3,Emerald 4,Gold 3,Gold 1,Gold 2,
Colby115,Harbinger#115,TOP,TWO,36,Gold 1-4,Platinum 4,Silver 1 96 LP,Silver 1 96 LP,Gold 3,,Platinum 4,Gold 4,Silver 4,
nerfseason,nerf season#lord,TOP,,36,Platinum 1-4,Emerald 4 20 LP,,,,Platinum 1 19 LP,Emerald 4 20 LP,,Gold 1 0 LP,
atamaex,Atamaex#NA1,TOP|SUP,GT,36,Gold 1-4,Gold 2,Gold 2 30 LP,Gold 2 30 LP,Gold 2,,,Silver 2,,
SwooshWRLD,SwooshWRLD#0334,MID|SUP,NC,37,Gold 1-4,Platinum 4,Gold 4 20 LP,Gold 4 20 LP,Gold 4,Platinum 4,Gold 4,Silver 3,Silver 3,
Dreadsu,callmeid#SNIP,TOP,,37,Gold 1-4,Gold 3 59 LP,Gold 3 59 LP,Gold 4 73 LP,,Silver 3 53 LP,,,,
